RACHEL,RICHARD,Undirected,1
REFEREE,TEAMMATE,Undirected,1
REPORTER,RICHARD,Undirected,1
RICHARD,SECRETARY,Undirected,1
RICHARD,TENDERO,Undirected,1
RICHARD,WALTER,Undirected,1
RICHARD,SHEIK,Undirected,1
RICHARD,SUSAN,Undirected,8
RICHARD,TOM,Undirected,2
RICHARD,WAITER,Undirected,1
SUSAN,TENDERO,Undirected,1
SUSAN,WAITER,Undirected,1
TEAMMATE 1,TEAMMATE 2,Undirected,1
TOM,WALTER,Undirected,1
YASIRA,ZORA,Undirected,1
YASIRA,YUSSEF,Undirected,2
YUSSEF,ZORA,Undirected,2
